t	K	U	E	T	P
20	989.3730778947635	-5849.347910870444	-4859.97483297568	0.7634051526965765	4.93528514176287
40	612.1492852931648	-5210.8019379691295	-4598.652652675964	0.4723374114916393	1.9882985711832748
60	691.0807485905034	-5244.5439430369715	-4553.46319444647	0.5332413183568699	2.19670731841283
80	738.4391583254888	-5244.196791564775	-4505.757633239285	0.5697833011770748	2.241909274071462
100	738.8624565785543	-5201.74335573215	-4462.880899153596	0.570109920199502	2.0080625969827572
120	795.7826132185165	-5229.903835139343	-4434.121221920825	0.6140297941500897	2.253157955939848
140	821.1759262168338	-5235.778555186703	-4414.602628969869	0.6336233998586682	2.338636616304802
160	821.5550816018194	-5222.883267170495	-4401.3281855686755	0.6339159580260952	2.2276450149707783
180	833.758801032772	-5210.970902819738	-4377.212101786967	0.6433324082042995	2.1404350848325695
200	841.2447949993451	-5190.677493684631	-4349.4326986852875	0.6491086381167785	2.0226901581006835
220	858.4700992513286	-5184.529031363069	-4326.058932111741	0.6623997679408399	2.0053790456838905
240	881.7678775920643	-5182.427840220126	-4300.659962628062	0.6803764487593089	2.003282401262733
260	877.8889552665485	-5149.897068081618	-4272.008112815069	0.6773834531377689	1.8247407040868222
280	910.1877417952646	-5157.010151380551	-4246.822409585287	0.7023053563235067	1.8884824904143058
300	914.8154446841556	-5137.729180455009	-4222.913735770852	0.7058761147254289	1.7591720069130896
320	927.5244711620877	-5114.358203764814	-4186.833732602724	0.7156824623164255	1.6250466583987593
340	935.3711190124726	-5098.304953776094	-4162.93383476362	0.7217369745466609	1.5593857025855045
360	942.9431352972064	-5088.915876392008	-4145.972741094802	0.7275795797046344	1.5000177191851702
380	954.996164715991	-5075.505248898476	-4120.509084182483	0.7368797567253015	1.394619914360083
400	986.4611332723046	-5086.92706659072	-4100.465933318415	0.7611582818459139	1.4664326536765853
420	977.8210559017778	-5066.42454733358	-4088.603491431803	0.7544915554797669	1.353745720105446
440	1002.3172292711633	-5066.807169245374	-4064.4899399742108	0.7733929238203422	1.3802651685259633
460	1008.2108857380274	-5057.648903015816	-4049.4380172777883	0.7779404982546507	1.3485804338098915
480	1007.5707172777918	-5038.13442571401	-4030.5637084362193	0.7774465411094075	1.2475285534419904
500	1003.6349938941366	-5022.645791368724	-4019.0107974745865	0.774409717510908	1.1540501582029676
520	1044.844617191306	-5048.520610317813	-4003.675993126508	0.8062072663513165	1.3398074575913093
540	1035.8867111577974	-5012.886700966542	-3976.9999898087444	0.7992953018192882	1.1076637332508097
560	1035.2454209120556	-4992.976695900102	-3957.7312749880466	0.7988004790988082	0.9529497598850964
580	1046.4786182137166	-4998.80500208431	-3952.3263838705943	0.8074680696093492	0.9948198477139096
600	1052.783414788292	-4988.299462495865	-3935.5160477075733	0.8123328817810895	0.9505855476093015
620	1070.5745556952872	-4986.737424687629	-3916.1628689923405	0.8260606139624128	0.9480529049768375
640	1076.454858415434	-4977.523075563904	-3901.0682171484696	0.8305978845798103	0.8734292248920242
660	1075.5325982858244	-4959.654943728836	-3884.12234544301	0.8298862641094322	0.7428428624460939
680	1082.6113128206812	-4964.735645516276	-3882.1243326955946	0.835348235201143	0.8026550037429626
700	1112.6123917815257	-4983.2074454037	-3870.5950536221744	0.8584972158808067	0.9598321651674878
720	1086.281994369587	-4932.746432252157	-3846.46443788257	0.8381805512111009	0.6244911464103104
740	1080.9873906305834	-4909.71969007317	-3828.732299442586	0.8340952088198946	0.4957964806254668
760	1115.6745100171051	-4929.377684932596	-3813.7031749154908	0.8608599614329517	0.6509239306138747
780	1094.6371943905851	-4906.714710066923	-3812.0775156763375	0.8446274648075501	0.5049015987664103
800	1133.3922236711173	-4926.053591602364	-3792.6613679312477	0.8745310367832697	0.6133416540303718
820	1116.0682505607917	-4886.131225151037	-3770.062974590245	0.8611637735808577	0.38976780776792924
840	1162.2125347488347	-4914.840245025682	-3752.627710276848	0.8967689311333602	0.6202670581267168
860	1141.5173136522194	-4882.499310449758	-3740.981996797539	0.8808003963365891	0.40763391483903416
880	1142.7137210413935	-4869.2042116159155	-3726.490490574522	0.8817235501862604	0.2766085161702555
900	1119.4041400609954	-4836.438610949771	-3717.034470888776	0.8637377623927435	0.07050786052205628
920	1133.8299851768877	-4852.995104886101	-3719.165119709213	0.8748688157229074	0.1679717207267954
940	1167.0424775020945	-4872.084470584437	-3705.041993082343	0.9004957388133447	0.2839131325112418
960	1146.3536167748357	-4819.604493646785	-3673.25087687195	0.8845321117089782	-0.09153319337039409
980	1172.6478109853797	-4822.842782307145	-3650.1949713217664	0.9048208418097063	-0.11760697553541592
1000	1196.8778909998155	-4830.473752913969	-3633.5958619141543	0.9235168912035613	-0.03040802115452403
1020	1167.0719668706106	-4800.320971309459	-3633.249004438849	0.9005184929557177	-0.18894931644274504
1040	1170.9275215453931	-4798.160860610936	-3627.233339065543	0.9034934579825565	-0.20305728560644148
1060	1189.2591466118033	-4800.412984891092	-3611.1538382792883	0.9176382304103422	-0.1518268407879401
1080	1197.5784976785135	-4803.880643461676	-3606.3021457831646	0.9240574827766308	-0.09079004755812994
1100	1156.9721708423256	-4771.923279238405	-3614.95110839608	0.8927254404647575	-0.33805924524734793
1120	1163.78561352312	-4779.536968485027	-3615.751354961906	0.8979827264838891	-0.29636247819541384
1140	1162.992634579738	-4755.625531256028	-3592.632896676291	0.8973708600152296	-0.43416191045768926
1160	1149.9617381510814	-4741.463543279661	-3591.5018051285806	0.8873161559807723	-0.5829574511376054
1180	1169.9898052418291	-4756.58975905978	-3586.5999538179503	0.9027699114520283	-0.44336457318466965
1200	1177.4304389146844	-4738.009025145893	-3560.5785862312077	0.9085111411378739	-0.4846858169932256
1220	1184.5454755333624	-4751.403140909069	-3566.8576653757073	0.9140011385288288	-0.39943350654129706
1240	1191.0217959618242	-4767.032705826737	-3576.0109098649127	0.9189982993532594	-0.33087454604868266
1260	1168.232687600839	-4743.596236990041	-3575.363549389201	0.9014141108031163	-0.466773844584497
1280	1178.9037175411531	-4761.317651801057	-3582.4139342599037	0.9096479302015075	-0.35330206000691977
1300	1178.9785908358604	-4760.758721451939	-3581.7801306160777	0.9097057028054476	-0.437015727993287
1320	1182.3339591459421	-4751.434602333539	-3569.1006431875976	0.9122947215632269	-0.44746831480616633
1340	1182.0328846227756	-4747.304115100763	-3565.271230477988	0.9120624109743638	-0.4279166781148267
1360	1162.9251203560484	-4720.524303246307	-3557.5991828902575	0.8973187657068273	-0.6168724246152816
1380	1171.7303842929175	-4732.119324995262	-3560.3889407023444	0.9041129508433006	-0.5781188832131849
1400	1171.0698809949447	-4726.407755093766	-3555.337874098823	0.9036033032368402	-0.6188634386536954
1420	1177.5101320707126	-4720.71960450864	-3543.2094724379276	0.9085726327706116	-0.6609500984027791
1440	1175.1280783751415	-4708.807219935655	-3533.6791415605135	0.9067346283758806	-0.744858857929285
1460	1197.7669192964283	-4721.202238317541	-3523.4353190211123	0.9242028698274913	-0.6533316012372764
1480	1186.8142083762655	-4696.252343124686	-3509.438134748421	0.9157517039940319	-0.8226453818642856
1500	1188.0302140316774	-4679.232273267769	-3491.202059236092	0.9166899799627138	-0.9052082422805814
1520	1202.6383956455256	-4690.614375196339	-3487.9759795508135	0.927961725035128	-0.8256814637352665
1540	1250.6452984031807	-4728.0638631408065	-3477.418564737626	0.9650040882740594	-0.5177642484515299
1560	1228.473762830756	-4693.910924649717	-3465.4371618189625	0.9478964219373116	-0.6686467864204678
