Temperature (K)	Pressure (MPa)	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
293.16	0.10000	55409.	1.8048e-05	1.5123	1.5141	5.3434	74.883	75.377	1482.4	-0.22491	1001.4	0.59803	liquid
294.16	0.10000	55397.	1.8052e-05	1.5877	1.5895	5.6001	74.816	75.365	1485.4	-0.22420	977.30	0.59978	liquid
295.16	0.10000	55385.	1.8056e-05	1.6631	1.6649	5.8558	74.748	75.354	1488.4	-0.22351	954.17	0.60151	liquid
296.16	0.10000	55372.	1.8060e-05	1.7384	1.7402	6.1107	74.679	75.344	1491.2	-0.22282	931.91	0.60321	liquid
297.16	0.10000	55358.	1.8064e-05	1.8138	1.8156	6.3647	74.609	75.335	1494.0	-0.22214	910.47	0.60488	liquid
298.16	0.10000	55344.	1.8069e-05	1.8891	1.8909	6.6177	74.539	75.328	1496.7	-0.22146	889.82	0.60653	liquid
299.16	0.10000	55330.	1.8073e-05	1.9644	1.9662	6.8699	74.467	75.321	1499.4	-0.22079	869.91	0.60815	liquid
300.16	0.10000	55315.	1.8078e-05	2.0397	2.0415	7.1213	74.395	75.314	1501.9	-0.22013	850.72	0.60975	liquid
301.16	0.10000	55299.	1.8083e-05	2.1150	2.1168	7.3718	74.321	75.309	1504.4	-0.21948	832.20	0.61133	liquid
302.16	0.10000	55283.	1.8089e-05	2.1903	2.1922	7.6214	74.247	75.304	1506.8	-0.21883	814.32	0.61288	liquid
303.16	0.10000	55267.	1.8094e-05	2.2656	2.2675	7.8702	74.172	75.301	1509.2	-0.21818	797.05	0.61441	liquid
304.16	0.10000	55250.	1.8100e-05	2.3409	2.3428	8.1182	74.097	75.297	1511.4	-0.21755	780.37	0.61591	liquid
305.16	0.10000	55232.	1.8105e-05	2.4162	2.4181	8.3653	74.020	75.295	1513.7	-0.21692	764.25	0.61739	liquid
306.16	0.10000	55214.	1.8111e-05	2.4915	2.4933	8.6117	73.943	75.293	1515.8	-0.21629	748.66	0.61886	liquid
307.16	0.10000	55196.	1.8117e-05	2.5668	2.5686	8.8572	73.865	75.291	1517.9	-0.21567	733.58	0.62030	liquid
308.16	0.10000	55177.	1.8123e-05	2.6421	2.6439	9.1019	73.786	75.291	1519.9	-0.21505	718.98	0.62171	liquid
309.16	0.10000	55158.	1.8130e-05	2.7174	2.7192	9.3458	73.707	75.290	1521.8	-0.21444	704.85	0.62311	liquid
310.16	0.10000	55138.	1.8136e-05	2.7927	2.7945	9.5890	73.627	75.290	1523.7	-0.21383	691.17	0.62449	liquid
311.16	0.10000	55118.	1.8143e-05	2.8680	2.8698	9.8313	73.546	75.291	1525.5	-0.21323	677.91	0.62584	liquid
312.16	0.10000	55097.	1.8150e-05	2.9433	2.9451	10.073	73.465	75.292	1527.2	-0.21263	665.06	0.62718	liquid
313.16	0.10000	55076.	1.8157e-05	3.0186	3.0204	10.314	73.383	75.293	1528.9	-0.21203	652.61	0.62850	liquid
314.16	0.10000	55055.	1.8164e-05	3.0939	3.0957	10.554	73.300	75.295	1530.5	-0.21144	640.52	0.62980	liquid
315.16	0.10000	55033.	1.8171e-05	3.1692	3.1710	10.793	73.217	75.297	1532.1	-0.21085	628.80	0.63107	liquid
316.16	0.10000	55011.	1.8178e-05	3.2445	3.2463	11.032	73.133	75.300	1533.6	-0.21026	617.43	0.63233	liquid
